,results
0,902.4078192635898
1,901.6138358596307
2,902.3422734029674
3,903.0751342554072
4,902.3507724365701
5,903.1135162110122
6,901.7267398846939
7,903.2125327371849
8,902.4030223766937
9,902.8553085794532
10,901.5795232025436
11,902.0740677762334
12,902.4311875857076
13,903.3487278483947
14,901.9271428392484
15,902.6464174142297
16,902.907515262045
17,902.4224945178322
18,902.2166824884034
19,902.582596956136
20,902.5024753469171
21,903.3539635378519
22,902.0439709637839
23,903.2226420805118
24,901.8012481096048
25,900.8492543064117
26,903.7172962139072
27,902.6720728361043
28,902.6598771133926
29,901.0771747435206
30,902.1287458088817
31,903.3386551936065
32,903.2025649109149
33,903.2432094386826
34,903.6161354704966
35,902.711537275776
36,902.6556066497967
37,902.7798781446926
38,901.8002006151657
39,902.9411075901806
40,902.47164489162
41,901.8064919467151
42,902.7484414703102
43,904.355483338129
44,903.5320459479634
45,903.2393035107477
46,904.2199214404508
47,902.6369076552178
48,902.7669223856789
49,903.2311048454632
50,902.2275156945797
51,902.3716527618266
52,903.9802244526809
53,903.6494968326731
54,901.3851186067119
55,902.1180219421732
56,901.6506983258125
57,900.9310750947026
58,903.4766489002403
59,902.8282682579376
60,903.255402627225
61,902.6374860094244
62,902.9175320119815
63,902.9299232283868
64,903.0266778444006
65,902.2659333725205
66,903.0648644132966
67,903.695791357775
68,903.1929607604523
69,903.378697823579
70,902.6954488923628
71,903.7952150553725
72,903.3620351092344
73,903.0212566487007
74,902.3711899199918
75,903.0147030025317
76,902.7768408228916
77,902.7140840198076
78,902.8001873415047
79,903.0291823086659
80,903.560763096075
81,903.2699545617656
82,902.6927567443552
83,903.2309551448973
84,903.2444519866183
85,903.4541034130768
86,901.2355434723851
87,902.6757366011229
88,901.244699761212
89,903.0500389929268
90,902.7788004024017
91,902.716528712985
92,901.3396652177332
93,902.7319812979207
94,902.4472224106215
95,902.1983751056322
96,903.0816755812324
97,902.9009911537468
98,903.0151367390049
99,903.6971082487881
